Var1,NSGAII,ECNSGAII,PECNSGAII,SRNSGAII,DCMOEAD,ECMOEAD,PECMOEAD,SRCMOEAD,ANSGAIII,CTAEA,CMOEA_MS,ToP,CCMO,PPS,MOEADDAE
NSGAII_DASCMOP3_15_M2_D2_9.mat,0.363476845651159,0.339304271791354,0.325027828437448,0.375685613959268,0.425729308592288,0.448809156646141,0.627065388434169,0.349861479210701,0.32038492027727,0.257556256841378,0.391321942213239,0.232130393469586,0.218477011496823,0.2537246868192,0.372428966934765
NSGAII_DASCMOP3_1_M2_D2_9.mat,0.255541188200482,0.253649776788671,0.411822907404859,0.253357302685469,0.275850035873959,0.261364966111027,0.672996076120322,0.258863147705356,0.254011193361267,0.370227930329578,0.25480983674631,0.251567972502688,0.25364204013582,0.25466325720026,0.304299295022289
NSGAII_DASCMOP3_2_M2_D2_9.mat,0.257501836369087,0.257539703329192,0.425384399192484,0.256007795901539,0.272349315516311,0.271961814815738,0.664610055364698,0.26329397388964,0.272569645351688,0.373264271388452,0.255670446557085,0.25771257539793,0.256704485986492,0.256957129726793,0.278781930972689
NSGAII_DASCMOP3_3_M2_D2_9.mat,0.271054413448032,0.270877977018936,0.432920289074602,0.269711805834931,0.330343027614906,0.312385938093837,0.659278886361432,0.273867800478661,0.27227690738186,0.36139961317959,0.273623190937879,0.2734535249286,0.271240068212929,0.279460709402571,0.304260409660023
NSGAII_DASCMOP3_4_M2_D2_9.mat,0.279929399800182,0.28222156320104,0.464633632485483,0.277979827442988,0.340786637712954,0.316260157287637,0.728576800228189,0.30333239749389,0.279438563813968,0.402709470686397,0.283944610409589,0.278345759434727,0.277047826896476,0.287502149289967,0.333392003091312
NSGAII_DASCMOP3_5_M2_D2_9.mat,0.197645002634185,0.199723435310375,0.308961403685682,0.202439550564605,0.2320744543864,0.242868357386907,0.521677789337038,0.213442906241089,0.191154554944632,0.301093490024673,0.189073183323757,0.179121168083778,0.179586119609143,0.1876643853816,0.246335045145228
NSGAII_DASCMOP3_6_M2_D2_9.mat,0.290435574762645,0.269519391977735,0.44001035250611,0.289802754984104,0.379681653023585,0.327965172323817,0.668764754837011,0.318376214572413,0.28306083338309,0.371660548634323,0.282758468900484,0.269146474141062,0.271259454193252,0.304980127435372,0.296390918731087
NSGAII_DASCMOP3_7_M2_D2_9.mat,0.293540758381895,0.259180280847768,0.428937551046075,0.259170129034452,0.424812306412533,0.401249811019414,0.63630314941924,0.361350452130934,0.258716288345118,0.368170782682934,0.276899236562333,0.259378699758102,0.260779602737847,0.27144754391134,0.334297333735695
NSGAII_DASCMOP3_8_M2_D2_9.mat,0.285473618754373,0.267073100525247,0.436351094070855,0.260714252128433,0.339075404825859,0.368480306800479,0.648025133441756,0.342247615839977,0.26390926674157,0.382947112449461,0.320603423087764,0.255681275290154,0.254844772449552,0.267938781200308,0.325923931390345
NSGAII_DASCMOP3_9_M2_D2_9.mat,0.262114152414493,0.292689384911097,0.424849883176317,0.268238206679956,0.45471352805713,0.385558920598122,0.694833545221562,0.344113854374417,0.263417162950993,0.377425040324894,0.269478681527531,0.252084767813121,0.252207790951357,0.287691499722069,0.407110942841942
NSGAII_DASCMOP4_10_M2_D2_9.mat,0.008737706266054,0.008732766660207,0.062907476160798,0.008949420774156,0.012443093609491,0.011934158487272,0.058995335453329,0.009400133888459,0.009907380519465,0.066464076261227,0.008841198604142,0.021508212085496,0.009871835862665,0.167331076852365,0.019057480535229
NSGAII_DASCMOP4_11_M2_D2_9.mat,0.035710149386723,0.035626485637174,0.089601634796707,0.035651475599125,0.036182956175444,0.036348986678148,0.078227557233701,0.035799952098368,0.035818598021155,0.068376096406085,0.035693672950421,0.101722898317069,0.035952819766888,0.212091041626285,0.039387344044083
NSGAII_DASCMOP4_12_M2_D2_9.mat,0.026497638644336,0.036683772151271,0.098382540740953,0.046039977310532,0.027406694127581,0.027526665380717,0.109381920842215,0.026644154814383,0.037049127660024,0.059487100836108,0.02642616321429,0.07199923493709,0.026929794527623,0.27519555434202,0.029767817991498
NSGAII_DASCMOP4_13_M2_D2_9.mat,0.019287216194132,0.019069125771468,0.07785868714153,0.029784423983014,0.01984498460243,0.019920326384869,0.107437916737215,0.019333109811178,0.019402102995347,0.078372383883292,0.029798935701159,0.07452532484832,0.019649053333894,0.199157995422587,0.023116433294568
NSGAII_DASCMOP4_14_M2_D2_9.mat,0.021627575753801,0.057935862995513,0.12489600557954,0.03419133061253,0.02247501517626,0.022532537883028,0.138627499680436,0.033759132602303,0.033834330640659,0.081016277973827,0.02171538074966,0.090280236437776,0.02249990438115,0.215184509024203,0.025836309175072
NSGAII_DASCMOP4_15_M2_D2_9.mat,0.027912723938364,0.017889123550152,0.112877491838533,0.048526429234437,0.018715408818318,0.018574020771587,0.095279613582208,0.018072524525183,0.018193126144406,0.04779499985513,0.018026474529064,0.031599066399025,0.018627220684559,0.169617211341636,0.021108835833376
NSGAII_DASCMOP4_1_M2_D2_9.mat,0.090255083525119,0.09006683293204,0.168873228092009,0.089776047725383,0.092402156977155,0.0928348631389,0.167483024267962,0.090324512309642,0.090763985184047,0.154101024430418,0.090194787392378,0.112217924309545,0.091537862632447,0.290659882571441,0.098555949868535
NSGAII_DASCMOP4_2_M2_D2_9.mat,0.006215124588303,0.005840795375226,0.096179489938522,0.006771275585405,0.015142926343281,0.013916054296578,0.09925548961727,0.007654874957263,0.006966511791147,0.092456749789543,0.006034911715204,0.034525619000592,0.00774592997607,0.328028689853831,0.022953250703942
NSGAII_DASCMOP4_3_M2_D2_9.mat,0.037663944187265,0.038330320108239,0.149541049299445,0.03846120011495,0.042976408913053,0.043044933795741,0.137313161637749,0.038479465963737,0.040554897088232,0.160246438445979,0.037084565905201,0.074786747752998,0.040929086152289,0.289319864643635,0.060265452758547
NSGAII_DASCMOP4_4_M2_D2_9.mat,0.022798373290367,0.023914069086643,0.141639307455911,0.022608881250862,0.028683024293161,0.029118015882413,0.144635249656523,0.023860616575639,0.025508406825028,0.14980038932569,0.022894762688709,0.060784838075986,0.027019621604689,0.271063059643447,0.042528072777155
NSGAII_DASCMOP4_5_M2_D2_9.mat,0.012579481065138,0.012648291255885,0.075627117661065,0.01244217378519,0.015758030435906,0.015687267787939,0.073843409937218,0.012718587417407,0.014074359077607,0.078749896251935,0.012333230415371,0.031065219772199,0.013917842834562,0.177356764224458,0.023831350316046
NSGAII_DASCMOP4_6_M2_D2_9.mat,0.053180978389612,0.053022365867632,0.102079759230025,0.053091243454231,0.054940113192433,0.054771977077404,0.100493393618895,0.053551734665937,0.053390464860366,0.093076853977611,0.052948420575031,0.064262644598129,0.054133028594789,0.254837984651167,0.063306983171634
NSGAII_DASCMOP4_7_M2_D2_9.mat,0.001639664030843,0.001624829601216,0.042551130225648,0.00166980779897,0.005908460824143,0.005721369831211,0.043883775111401,0.001797685663826,0.002015924002471,0.045552698662468,0.001471517200532,0.013839256747687,0.002624177380208,0.157945677978879,0.008752655271566
NSGAII_DASCMOP4_8_M2_D2_9.mat,0.01259858117995,0.012435705168398,0.048409293313723,0.012496051882429,0.01466954465191,0.014646428949752,0.049272517937238,0.013100889541359,0.013515712460528,0.049800267762512,0.012712233542437,0.02323713342719,0.013487837540732,0.150795458224035,0.018890412067433
NSGAII_DASCMOP4_9_M2_D2_9.mat,0.008444508610959,0.008272516167375,0.056252092610624,0.008304888220333,0.011517186216429,0.011403963156494,0.054854860007719,0.009120570688058,0.009663099753188,0.057444039974603,0.008395902373538,0.022561435761954,0.010005274867551,0.196190128245021,0.014564930060968
NSGAII_DASCMOP5_10_M2_D2_9.mat,0.026066608558167,0.026681997864796,0.130622191269612,0.027781064090086,0.036231663235968,0.036223352055443,0.133008916246222,0.032376549382681,0.030114934035155,0.136822240010078,0.026145668381122,0.062154308824158,0.034132571482307,0.319932470734068,0.065365682454882
